2497,,same,up,down
116.6,193894.2,116.75,116.97,2
116.91,263608.8,116.84,117.23,1
116.51,185727.6,117.03,117.14,2
116.97,190174.9,116.8,117,1
116.7,258368.7,116.86,117.06,2
117.22,203177.6,116.99,117.4,1
116.93,234239.8,117.04,117.04,2
117.24,275173.4,116.91,117.24,1
116.87,205527,116.76,117.36,1
116.78,246164.1,117.1,117.1357,2
117.23,231759.8,117.02,117.515,1
116.86,260403.2,116.95,117.0886,2
117.09,322868.3,116.47,117.19,1
116.2,273152.1,116.15,116.55,1
115.32,290988.5,116,116,2
115.75,162273.1,115.74,116.0299,1
115.74,259106,116.88,116.93,2
116.71,338685.1,116.57,116.9899,1
116.42,232564.7,116.23,116.42,1
116.24,310577.3,116.42,116.51,2
116.54,224867.4,116.87,116.92,2
116.87,294250.7,116.88,116.93,2
117.1,240574.6,116.96,117.32,1
116.77,199162.4,117.27,117.3799,2
116.95,334257.2,116.56,117.53,1
116.47,388538.6,117.48,117.73,2
117.53,439407.8,117.3,117.79,1
116.85,422460.9,117.12,117.35,2
117.15,231019.9,116.77,117.15,1
116.52,267960.8,116.18,116.849,1
116.1,399981.3,114.63,116.19,1
114.68,235553.7,114.34,114.705,1
114.1,384304.7,113.9,114.37,1
113.31,175568.3,113.34,113.67,2
113.31,260120.8,114.03,114.03,2
113.78,440631.5,114.47,114.55,2
114.05,154424.1,113.9,114.35,1
113.89,184984.4,114.32,114.41,2
114.55,88981.8,114.35,114.55,1
114.11,181870.3,113.72,114.12,1
113.95,267363.2,113.88,114.0399,1
113.62,249339.1,113.12,113.63,1
112.77,229822.2,113.05,113.12,2
112.98,187488.1,112.53,113.0354,1
112.41,711385.4,112.37,112.5301,1
112.57,603673.4,112.04,112.6,1
111.7,523403.1,111.78,112.05,2
111.41,400508.2,111,111.51,1
111.37,508248.8,111.59,112.13,2
110.98,648198.8,108.77,111.3299,1
109.62,207353.3,109.01,109.99,1
109.15,252754.2,108.41,109.17,1
106.79,280543.4,106.89,107.51,2
106.86,209647.8,107.42,107.63,2
107.33,295735.2,107.87,108.08,2
108.08,316963.1,109.1,109.1899,2
108.89,191359.9,109.05,109.205,2
108.82,286713.9,109.11,109.56,2
109.18,159810.5,110,110,2
109.55,182744.6,109.47,109.965,1
109.88,207908.1,110.25,110.33,2
110.35,200485.5,110.39,110.6,2
109.8,123442.5,109.41,109.895,1
109.84,201697.7,109.9,110.17,2
110.05,140819.2,109.94,110.25,1
109.7,163517.1,109.92,110.025,2
109.06,250771,109.38,109.54,2
109.37,267399.5,110,110.32,2
109.4,198582.8,109.01,109.7191,1
109.79,184946,109.78,110.13,1
109.66,199692.3,110.94,110.95,2
111.14,113495.3,111.1,111.44,1
110.54,177062.3,111.15,111.23,2
110.96,106772.4,110.75,111.09,1
110.92,211901.2,110.78,111.22,1
110.49,270109.7,111.12,111.22,2
110.99,220729,111.09,111.23,2
111.33,172252.2,110.97,111.71,1
110.46,203724.2,111.48,111.6165,2
111.55,143993.2,111.06,111.6,1
110.9,129243.6,110.23,110.95,1
110.27,213672.7,110.64,110.87,2
111.15,153204.9,111.59,111.68,2
111.79,152523.6,111.63,111.9238,1
110.98,197178.2,110.11,111.075,1
109.72,160343.8,110.29,110.33,2
109.77,343016.3,110.19,110.5,2
109.61,277941.9,109.75,109.77,2
110.05,296040,108.86,110.25,1
108.93,204160.1,109.05,109.71,2
108.92,512212,109.95,110.01,2
111.19,304361.5,109.19,111.4,1
109.655,333668.7,111.72,111.725,2
112.46,115248.5,112.57,112.67,2
112.75,158996,112.54,112.75,1
112.6,411146.8,112.46,112.62,1
112.28,156321.4,112.19,112.51,1
111.71,167092.5,111.77,111.89,2
111.65,139372,111.88,111.9,2
111.97,153461.8,112.16,112.3,2
112.15,106955.1,111.72,112.3336,1
111.54,185108.2,111.87,112.548,2
111.77,120518.6,111.7,112.07,1
111.84,226776.9,112.43,112.46,2
112.47,325263,112.48,112.78,2
112.17,110199.4,112.04,112.25,1
112.14,100064.7,112,112.227,1
112.3,97206.6,111.92,112.3,1
111.95,279163,111.84,112.03,1
111.81,122860.2,112.23,112.24,2
112.45,144283.3,112.29,112.644,1
112.04,154291.8,111.97,112.17,1
112.15,137823.5,111.98,112.2599,1
111.59,125905.4,111.94,112.046,2
111.92,103251.7,111.94,112.18,2
111.82,123876.9,111.99,112.12,2
111.89,137939.1,111.42,111.92,1
110.97,111355.6,110.85,111.18,1
110.84,135361.5,110.39,110.86,1
110.43,247388.9,111.19,111.23,2
111.27,209344.1,111.4,111.67,2
111.42,163836.2,111.09,111.615,1
111.16,194581.3,110.89,111.375,1
111.02,197754,111.41,111.4242,2
111.15,143234.4,111.06,111.3399,1
111.03,139425.4,111.24,111.27,2
111.32,354672.8,110.9,111.36,1
110.79,339344.9,111.18,111.29,2
111.23,113553.6,110.68,111.33,1
110.64,315420.1,110.62,110.7465,1
110.86,135999.9,110.65,110.93,1
110.55,138474.4,110.89,110.97,2
110.67,156105.4,110.72,110.99,2
110.14,148574.1,110.43,110.5,2
110.2,322280.9,109.88,110.3973,1
109.29,386818.4,109.19,109.62,1
108.84,236151.2,107.91,108.99,1
107.17,166982.2,107.37,107.7699,2
107.22,176717.3,106.2,107.2599,1
106.57,301986.2,106.94,107,2
107.37,293811.4,107.1,107.75,1
107.16,555228.3,106.01,107.2,1
105.71,263546.9,104.68,105.8299,1
103.85,756945.2,103.08,103.86,1
